last sync time,ELK log ID,client IP,synchronize results,time difference,
"2018-04-28T00:20:04.553Z","AWMJnv1iOwJ9bVn2e-3K","10.3.101.1","sync'ed","-0.006",
"2018-04-28T00:20:04.617Z","AWMJnv2gOwJ9bVn2e-3Q","10.3.101.2","sync'ed","-0.009",
"2018-04-28T00:20:04.214Z","AWMJnvwhOwJ9bVn2e-2i","10.3.101.3","sync'ed","-0.006",
"2018-04-28T00:20:04.786Z","AWMJnv5FOwJ9bVn2e-3v","10.3.101.4","sync'ed","-0.005",
"2018-04-28T00:20:04.585Z","AWMJnv2TOwJ9bVn2e-3N","10.3.101.5","sync'ed","-0.007",
"2018-04-28T00:20:04.097Z","AWMJnvuNOwJ9bVn2e-1n","10.3.101.6","sync'ed","-0.006",
"2018-04-28T00:20:03.969Z","AWMJnvsVOwJ9bVn2e-1J","10.3.101.7","sync'ed","-0.006",
"2018-04-28T00:20:05.232Z","AWMJnwAAOwJ9bVn2e-4n","10.3.101.8","sync'ed","-0.005",
"2018-04-28T00:20:04.765Z","AWMJnv46OwJ9bVn2e-3o","10.3.101.9","sync'ed","-0.008",
"2018-04-28T00:20:05.199Z","AWMJnv_eOwJ9bVn2e-4k","10.3.101.10","sync'ed","-0.005",
"2018-04-28T00:20:04.096Z","AWMJnvuNOwJ9bVn2e-1m","10.3.101.11","sync'ed","-0.005",
"2018-04-28T00:20:04.032Z","AWMJnvtNOwJ9bVn2e-1U","10.3.101.12","sync'ed","-0.007",
"2018-04-28T00:20:04.556Z","AWMJnv1iOwJ9bVn2e-3L","10.3.101.13","sync'ed","-0.008",
"2018-04-28T00:20:04.435Z","AWMJnvzlOwJ9bVn2e-2x","10.3.101.14","sync'ed","-0.004",
"2018-04-28T00:20:04.235Z","AWMJnvwUOwJ9bVn2e-2a","10.3.101.15","sync'ed","-0.005",
"2018-04-28T00:20:04.486Z","AWMJnv0kOwJ9bVn2e-27","10.3.101.16","sync'ed","-0.007",
"2018-04-28T00:20:04.718Z","AWMJnv4lOwJ9bVn2e-3m","10.3.101.17","sync'ed","-0.006",
"2018-04-28T00:20:04.339Z","AWMJnvx_OwJ9bVn2e-2t","10.3.101.18","sync'ed","-0.006",
"2018-04-28T00:20:04.061Z","AWMJnvtxOwJ9bVn2e-1a","10.3.101.19","sync'ed","-0.008",
"2018-04-28T00:20:04.759Z","AWMJnv46OwJ9bVn2e-3n","10.3.101.20","sync'ed","-0.007",
"2018-04-28T00:20:04.616Z","AWMJnv2gOwJ9bVn2e-3P","10.3.101.25","sync'ed","-0.007",
"2018-04-28T00:20:04.525Z","AWMJnv1BOwJ9bVn2e-3E","10.3.101.101","sync'ed","-0.007",
"2018-04-28T00:20:04.007Z","AWMJnvswOwJ9bVn2e-1R","10.3.101.102","sync'ed","-0.007",
"2018-04-28T00:20:04.256Z","AWMJnvwpOwJ9bVn2e-2k","10.3.102.1","sync'ed","-0.007",
"2018-04-28T00:20:04.088Z","AWMJnvuBOwJ9bVn2e-1l","10.3.102.2","sync'ed","-0.007",
"2018-04-28T00:20:04.530Z","AWMJnv1BOwJ9bVn2e-3G","10.3.102.3","sync'ed","-0.008",
"2018-04-28T00:20:04.726Z","AWMJnv3_OwJ9bVn2e-3g","10.3.102.4","sync'ed","-0.008",
"2018-04-28T00:20:04.463Z","AWMJnv0IOwJ9bVn2e-22","10.3.102.5","sync'ed","-0.006",
"2018-04-28T00:20:04.147Z","AWMJnvvWOwJ9bVn2e-15","10.3.102.6","sync'ed","-0.005",
