last sync time,ELK log ID,client IP,synchronize results,time difference,
"2019-03-02T00:34:40.459Z","xTTTO2kBIJBavlofDni_","10.3.101.1","sync'ed","-0.007",
"2019-03-02T00:34:39.980Z","szTTO2kBIJBavlofDXdD","10.3.101.2","sync'ed","-0.008",
"2019-03-02T00:34:40.532Z","YDTTO2kBIJBavlofDXi5","10.3.101.3","sync'ed","-0.008",
"2019-03-02T00:34:40.801Z","jDTTO2kBIJBavlofDngT","10.3.101.4","sync'ed","-0.008",
"2019-03-02T00:34:40.151Z","tjTTO2kBIJBavlofDXdD","10.3.101.5","sync'ed","-0.007",
"2019-03-02T00:34:40.864Z","vDTTO2kBIJBavlofDXdD","10.3.101.6","sync'ed","-0.005",
"2019-03-02T00:34:40.436Z","uTTTO2kBIJBavlofDXdD","10.3.101.7","sync'ed","-0.006",
"2019-03-02T00:34:40.187Z","XTTTO2kBIJBavlofDXi5","10.3.101.8","sync'ed","-0.006",
"2019-03-02T00:34:40.389Z","uDTTO2kBIJBavlofDXdD","10.3.101.9","sync'ed","-0.007",
"2019-03-02T00:34:41.110Z","kjTTO2kBIJBavlofDngd","10.3.101.10","sync'ed","-0.006",
"2019-03-02T00:34:40.020Z","tDTTO2kBIJBavlofDXdD","10.3.101.11","sync'ed","-0.006",
"2019-03-02T00:34:40.110Z","tTTTO2kBIJBavlofDXdD","10.3.101.12","sync'ed","-0.002",
"2019-03-02T00:34:40.586Z","izTTO2kBIJBavlofDngT","10.3.101.13","sync'ed","-0.008",
"2019-03-02T00:34:39.981Z","WjTTO2kBIJBavlofDXi5","10.3.101.14","sync'ed","-0.008",
"2019-03-02T00:34:40.048Z","6jTTO2kBIJBavlofCXbs","10.3.101.15","sync'ed","-0.006",
"2019-03-02T00:34:40.695Z","uzTTO2kBIJBavlofDXdD","10.3.101.16","sync'ed","-0.021",
"2019-03-02T00:34:40.564Z","YTTTO2kBIJBavlofDXi5","10.3.101.17","sync'ed","-0.004",
"2019-03-02T00:34:40.007Z","LDTTO2kBIJBavlofCndH","10.3.101.18","sync'ed","-0.006",
"2019-03-02T00:34:40.258Z","QTTTO2kBIJBavlofDXh8","10.3.101.19","sync'ed","-0.007",
